City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,32.0,40,40,2.3,scattered clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,75.99,83,40,12.66,scattered clouds
2,Camargo,MX,27.6667,-105.1667,72.66,37,0,2.15,clear sky
3,Ushuaia,AR,-54.8,-68.3,48.2,53,20,2.3,few clouds
4,Boende,CD,-0.2167,20.8667,75.45,85,96,2.42,overcast clouds
5,Busselton,AU,-33.65,115.3333,63.0,91,0,1.99,clear sky
6,Salalah,OM,17.0151,54.0924,82.4,78,0,3.44,clear sky
7,Mahebourg,MU,-20.4081,57.7,81.0,75,12,7.0,few clouds
8,Camden,US,39.7835,-74.9663,63.0,26,54,1.99,broken clouds
9,Ust-Nera,RU,64.5667,143.2,-0.31,98,100,6.58,overcast clouds
10,Vaini,TO,-21.2,-175.2,71.6,88,75,5.75,broken clouds
11,Kruisfontein,ZA,-34.0033,24.7314,66.99,79,2,7.0,clear sky
12,Mataura,NZ,-46.1927,168.8643,57.0,76,42,11.99,scattered clouds
13,Qaanaaq,GL,77.484,-69.3632,-12.46,68,17,6.96,few clouds
14,Carnarvon,AU,-24.8667,113.6333,77.0,78,34,17.27,scattered clouds
15,Burgeo,CA,47.6167,-57.6152,43.48,92,94,22.84,overcast clouds
16,Sambava,MG,-14.2667,50.1667,79.88,83,10,6.42,clear sky
17,Provideniya,RU,64.3833,-173.3,-6.05,88,29,7.36,scattered clouds
18,Bonito,BR,-21.1211,-56.4819,95.76,26,77,5.41,broken clouds
19,Mildura,AU,-34.2,142.15,68.0,52,0,6.91,clear sky
20,Byron Bay,AU,-28.65,153.6167,68.0,94,90,5.75,overcast clouds
21,Bluff,NZ,-46.6,168.3333,57.0,76,76,11.99,broken clouds
22,Mecca,SA,21.4267,39.8261,80.73,31,81,8.81,broken clouds
23,Atuona,PF,-9.8,-139.0333,80.29,80,66,10.89,broken clouds
24,Asyut,EG,27.181,31.1837,78.8,18,0,16.11,clear sky
25,Airai,TL,-8.9266,125.4092,60.26,95,100,4.7,overcast clouds
26,Karratha,AU,-20.7377,116.8463,83.5,47,2,6.73,clear sky
27,Hermanus,ZA,-34.4187,19.2345,68.0,86,85,11.9,light rain
28,Nhulunbuy,AU,-12.2333,136.7667,80.6,78,75,5.75,broken clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,20,14.97,mist
30,Manadhoo,MV,5.7667,73.3833,84.31,68,45,13.02,scattered clouds
31,Belmonte,BR,-15.8631,-38.8828,87.8,70,75,3.44,broken clouds
32,Kinkala,CG,-4.3614,14.7644,89.6,55,20,9.22,light rain
33,Lompoc,US,34.6391,-120.4579,57.0,71,42,5.75,scattered clouds
34,Pevek,RU,69.7008,170.3133,-16.64,98,94,7.99,overcast clouds
35,Cayenne,GF,4.9333,-52.3333,80.6,89,40,4.61,moderate rain
36,Namatanai,PG,-3.6667,152.4333,77.86,85,98,6.58,moderate rain
37,Albany,US,42.6001,-73.9662,54.0,22,30,3.0,scattered clouds
38,San Patricio,US,28.017,-97.5169,75.99,64,75,13.8,broken clouds
39,Ostrovnoy,RU,68.0531,39.5131,32.16,88,100,20.24,overcast clouds
40,Bambous Virieux,MU,-20.3428,57.7575,81.0,75,15,7.0,few clouds
41,Leningradskiy,RU,69.3833,178.4167,-3.26,96,100,6.53,overcast clouds
42,Jacobina,BR,-11.1806,-40.5183,94.03,20,4,9.51,clear sky
43,Gamba,GA,-2.65,10.0,79.92,83,100,9.13,overcast clouds
44,Dikson,RU,73.5069,80.5464,7.57,89,100,8.32,overcast clouds
45,Tartus,SY,34.889,35.8866,60.8,72,40,3.44,scattered clouds
46,Sitka,US,57.0531,-135.33,37.4,93,90,6.91,light rain
47,Khatanga,RU,71.9667,102.5,-16.08,91,10,6.33,clear sky
48,Bethel,US,41.3712,-73.414,55.99,24,1,3.44,clear sky
49,Ketchikan,US,55.3422,-131.6461,35.6,100,90,4.61,overcast clouds
50,Semnan,IR,35.5729,53.3971,58.06,34,21,5.35,few clouds
51,Umm Lajj,SA,25.0213,37.2685,74.88,59,1,11.83,clear sky
52,Torbay,CA,47.6666,-52.7314,42.01,93,90,13.8,mist
53,Corn Island,NI,12.1694,-83.0418,80.31,76,80,15.46,broken clouds
54,Vila Velha,BR,-20.3297,-40.2925,82.4,65,20,16.11,few clouds
55,Rikitea,PF,-23.1203,-134.9692,76.77,70,26,14.7,light rain
56,Shakawe,BW,-18.3667,21.85,75.65,41,2,4.83,clear sky
57,Beira,MZ,-19.8436,34.8389,80.01,83,20,8.5,few clouds
58,Lebu,CL,-37.6167,-73.65,62.71,59,0,8.75,clear sky
59,Arvika,SE,59.6553,12.5852,46.4,71,40,21.85,scattered clouds
60,Atambua,ID,-9.1061,124.8925,74.03,93,100,16.58,moderate rain
61,Araouane,ML,18.9048,-3.5265,100.49,4,19,1.32,few clouds
62,Kavieng,PG,-2.5744,150.7967,77.63,88,100,6.98,moderate rain
63,New Norfolk,AU,-42.7826,147.0587,55.99,67,100,3.0,overcast clouds
64,Udachnyy,RU,66.4167,112.4,-19.86,100,96,5.44,overcast clouds
65,Inuvik,CA,68.3499,-133.7218,-0.4,85,99,5.75,overcast clouds
66,Nur,PL,52.6683,22.3221,43.0,50,77,4.0,broken clouds
67,Gat,IL,31.61,34.7642,64.99,35,0,8.57,clear sky
68,Jamestown,US,42.097,-79.2353,54.0,35,1,6.91,clear sky
69,Mago,RU,53.2514,140.1822,6.06,94,10,0.6,clear sky
70,Castro,BR,-24.7911,-50.0119,72.97,54,61,5.91,broken clouds
71,Hithadhoo,MV,-0.6,73.0833,83.82,74,75,17.34,broken clouds
72,Aloleng,PH,16.1307,119.7824,79.83,79,0,1.34,clear sky
73,Borba,BR,-4.3878,-59.5939,92.16,47,100,4.76,light rain
74,Hilo,US,19.7297,-155.09,69.8,83,20,4.61,few clouds
75,Xiaoshi,CN,41.2971,124.1209,33.8,55,0,2.24,clear sky
76,Tiksi,RU,71.6872,128.8694,-21.14,100,80,4.76,broken clouds
77,Punta Arenas,CL,-53.15,-70.9167,48.2,53,0,17.27,clear sky
78,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,87,8.05,overcast clouds
79,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,11.5,few clouds
80,Camacha,PT,33.0833,-16.3333,66.2,63,40,6.91,scattered clouds
81,Nieves,PH,15.3274,120.9485,82.4,65,75,4.61,broken clouds
82,Labuhan,ID,-6.8844,112.2051,76.86,90,100,10.8,overcast clouds
83,Ginda,IN,30.6945,78.4932,59.99,21,98,4.18,overcast clouds
84,Tonj,SS,7.2737,28.6822,92.44,16,85,3.62,overcast clouds
85,Maceio,BR,-9.6658,-35.7353,84.2,74,75,12.66,light rain
86,Mana,GF,5.6592,-53.7767,81.99,77,97,10.49,overcast clouds
87,Severo-Kurilsk,RU,50.6789,156.125,28.71,81,85,13.42,overcast clouds
88,Nanortalik,GL,60.1432,-45.2371,37.49,78,94,11.07,overcast clouds
89,Winneba,GH,5.3511,-0.6231,87.8,70,20,16.11,few clouds
90,Hofn,IS,64.2539,-15.2082,18.16,57,65,23.15,broken clouds
91,Vestmannaeyjar,IS,63.4427,-20.2734,24.6,48,70,30.87,broken clouds
92,Uray,RU,60.1247,64.7758,34.48,99,100,4.83,overcast clouds
93,Pacific Grove,US,36.6177,-121.9166,57.2,58,1,8.05,clear sky
94,Assiniboia,CA,49.6334,-105.9845,57.2,24,56,10.36,broken clouds
95,Sterling,US,39.0062,-77.4286,66.99,27,20,14.97,few clouds
96,Yellowknife,CA,62.456,-114.3525,16.0,57,20,8.05,few clouds
97,Guerrero Negro,MX,27.9769,-114.0611,66.18,65,2,12.73,clear sky
98,Blackwater,AU,-23.5833,148.8833,70.84,82,100,9.19,overcast clouds
99,Znin,PL,52.8496,17.7199,48.0,46,0,11.5,clear sky
100,Ngunguru,NZ,-35.6167,174.5,50.0,94,29,6.55,scattered clouds
101,Havoysund,NO,70.9963,24.6622,32.0,74,20,4.61,light snow
102,Kahului,US,20.8947,-156.47,69.8,100,40,12.66,moderate rain
103,Kapaa,US,22.0752,-159.319,73.4,68,90,19.57,overcast clouds
104,Hasaki,JP,35.7333,140.8333,63.0,100,75,6.91,light rain
105,Henties Bay,NA,-22.116,14.2845,68.0,81,4,5.99,clear sky
106,Upernavik,GL,72.7868,-56.1549,-10.55,77,1,11.54,clear sky
107,Riyadh,SA,24.6877,46.7219,75.2,10,0,12.66,clear sky
108,Amuntai,ID,-2.4177,115.2494,74.64,98,100,1.9,overcast clouds
109,Butaritari,KI,3.0707,172.7902,81.34,79,40,10.33,scattered clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,87.01,20,1,3.44,clear sky
111,Itoman,JP,26.1247,127.6694,66.2,72,75,21.85,broken clouds
112,Batagay-Alyta,RU,67.8006,130.4114,-17.21,98,100,3.96,overcast clouds
113,Sedkyrkeshch,RU,61.75,50.9167,30.2,93,40,2.24,scattered clouds
114,Yaan,NG,7.3833,8.5667,98.74,22,87,3.76,overcast clouds
115,Antofagasta,CL,-23.65,-70.4,73.99,60,0,11.5,clear sky
116,Idrinskoye,RU,54.3708,92.1358,24.62,97,37,2.46,scattered clouds
117,Souillac,MU,-20.5167,57.5167,81.0,75,4,7.0,clear sky
118,Hobart,AU,-42.8794,147.3294,57.2,67,99,8.05,overcast clouds
119,Bengkulu,ID,-3.8004,102.2655,77.49,83,100,8.95,light rain
120,Palmer,US,42.1584,-72.3287,55.0,24,20,3.44,few clouds
121,Zhigansk,RU,66.7697,123.3711,-23.89,99,53,5.48,broken clouds
122,Zanjan,IR,36.6736,48.4787,51.96,31,53,6.04,broken clouds
123,Barrow,US,71.2906,-156.7887,-9.4,70,1,12.66,clear sky
124,Hanchuan,CN,30.65,113.7667,55.4,50,0,8.95,light rain
125,Puerto Carreno,CO,6.189,-67.4859,95.65,39,57,4.25,moderate rain
126,Ilulissat,GL,69.2167,-51.1,19.4,53,40,9.22,scattered clouds
127,Carbonia,IT,39.1672,8.5222,57.2,100,40,6.91,light intensity drizzle
128,Port Alfred,ZA,-33.5906,26.891,67.17,83,0,11.56,clear sky
129,Poltar,SK,48.4309,19.7941,41.0,24,91,5.01,overcast clouds
130,Tasiilaq,GL,65.6145,-37.6368,23.0,63,90,8.05,overcast clouds
131,Karwar,IN,14.8,74.1333,78.64,75,14,10.36,few clouds
132,Korbach,DE,51.2756,8.873,46.4,70,20,11.5,few clouds
133,Lewistown,US,40.5992,-77.5714,64.4,27,1,14.97,clear sky
134,Yerbogachen,RU,61.2767,108.0108,-13.23,99,65,4.16,broken clouds
135,Georgetown,MY,5.4112,100.3354,84.99,89,20,4.38,light rain
136,Kasempa,ZM,-13.4584,25.8338,69.98,70,81,4.21,broken clouds
137,Little Current,CA,45.9793,-81.9248,53.6,56,42,10.36,scattered clouds
138,Sao Filipe,CV,14.8961,-24.4956,76.64,65,34,2.53,scattered clouds
139,Hays,US,30.0502,-98.0336,66.99,77,92,4.0,overcast clouds
140,Broken Hill,AU,-31.95,141.4333,68.0,45,0,3.91,clear sky
141,Mount Gambier,AU,-37.8333,140.7667,57.2,72,15,8.05,few clouds
142,Skibbereen,IE,51.55,-9.2667,51.8,62,20,16.11,few clouds
143,Clyde River,CA,70.4692,-68.5914,-9.4,77,1,5.75,clear sky
144,Kenora,CA,49.8167,-94.4337,57.2,28,75,14.97,broken clouds
145,Parlakimidi,IN,18.7667,84.0833,79.84,82,9,2.75,clear sky
146,Aklavik,CA,68.2191,-135.0107,-5.8,77,75,9.22,broken clouds
147,Panorama,GR,40.5878,23.0315,54.0,62,20,12.66,few clouds
148,Modasa,IN,23.4667,73.3,88.09,15,0,7.34,clear sky
149,Inhambane,MZ,-23.865,35.3833,77.0,64,20,4.61,few clouds
150,Pisco,PE,-13.7,-76.2167,77.0,69,0,9.22,clear sky
151,Marsa Matruh,EG,31.3525,27.2453,82.4,17,0,10.36,clear sky
152,Basco,PH,20.4487,121.9702,77.36,80,81,25.3,broken clouds
153,Machaneng,BW,-23.1862,27.4886,70.86,61,6,7.58,clear sky
154,Marzuq,YE,14.4,46.4667,73.62,36,9,7.87,clear sky
155,Constitucion,CL,-35.3333,-72.4167,63.28,66,28,7.14,scattered clouds
156,Cape Town,ZA,-33.9258,18.4232,71.01,83,20,16.11,few clouds
157,Altay,CN,47.8667,88.1167,37.47,38,3,11.52,clear sky
158,Isangel,VU,-19.55,169.2667,76.01,77,72,16.04,broken clouds
159,Salobrena,ES,36.7428,-3.5872,62.01,80,52,3.06,broken clouds
160,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,93,90,14.97,mist
161,Kasungu,MW,-13.0333,33.4833,65.19,96,54,4.16,light rain
162,Krosno,PL,49.6887,21.7706,36.0,73,94,5.99,overcast clouds
163,Kottapalli,IN,18.4833,79.1,89.64,18,3,5.19,clear sky
164,Guia De Isora,ES,28.2115,-16.7795,69.01,56,75,10.36,broken clouds
165,Ulagan,RU,50.6321,87.9563,21.24,76,5,3.33,clear sky
166,Iqaluit,CA,63.7506,-68.5145,8.6,78,20,3.44,few clouds
167,Pachino,IT,36.7186,15.0907,59.0,88,75,4.61,broken clouds
168,Padang,ID,-0.9492,100.3543,75.2,94,20,2.3,few clouds
169,Khandyga,RU,62.6667,135.6,-28.3,100,31,1.39,scattered clouds
170,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.2,79,75,4.61,broken clouds
171,Mehamn,NO,71.0357,27.8492,35.6,80,75,9.22,broken clouds
172,Zhangye,CN,38.9342,100.4517,47.84,48,36,8.12,scattered clouds
173,Kirovo-Chepetsk,RU,58.5539,50.0399,24.01,95,46,4.5,scattered clouds
174,Katsuura,JP,35.1333,140.3,66.0,97,100,1.01,overcast clouds
175,Lorengau,PG,-2.0226,147.2712,80.4,81,99,6.73,overcast clouds
176,Mount Isa,AU,-20.7333,139.5,71.6,64,13,5.75,few clouds
177,Naze,JP,28.3667,129.4833,61.83,77,100,15.55,overcast clouds
178,Galveston,US,29.3669,-94.9669,72.0,68,90,11.5,overcast clouds
179,Grand-Santi,GF,4.25,-54.3833,82.54,79,100,3.51,overcast clouds
180,San Policarpo,PH,12.1791,125.5072,81.86,67,86,11.97,overcast clouds
181,Tymovskoye,RU,50.8456,142.655,13.05,95,44,1.68,scattered clouds
182,Kushiro,JP,42.975,144.3747,32.74,89,100,12.3,light snow
183,Otjimbingwe,NA,-22.35,16.1333,87.08,24,6,8.21,clear sky
184,Duldurga,RU,50.6761,113.5931,32.79,71,36,14.61,scattered clouds
185,Fortuna,US,40.5982,-124.1573,51.01,87,90,4.61,overcast clouds
186,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,0,4.61,clear sky
187,Marsh Harbour,BS,26.5412,-77.0636,67.39,59,95,17.11,overcast clouds
188,Buraydah,SA,26.326,43.975,69.8,26,0,5.75,clear sky
189,Mauguio,FR,43.6181,4.0074,64.4,48,0,6.91,clear sky
190,Tura,IN,25.5198,90.2201,72.39,22,91,1.43,overcast clouds
191,Port Blair,IN,11.6667,92.75,79.95,75,9,3.62,clear sky
192,Olga,RU,43.7444,135.2892,32.86,59,0,5.44,clear sky
193,Biak,ID,-0.9131,122.8766,77.49,80,100,4.07,overcast clouds
194,Lasa,IT,46.6166,10.7002,62.6,39,0,6.91,clear sky
195,Kodiak,US,57.79,-152.4072,33.8,80,20,3.44,few clouds
196,Port Hedland,AU,-20.3167,118.5667,75.2,53,1,8.05,clear sky
197,Bow Island,CA,49.8668,-111.3684,59.0,26,100,12.66,overcast clouds
198,Saskylakh,RU,71.9167,114.0833,-26.75,100,23,3.4,few clouds
199,Punta Alta,AR,-38.8759,-62.0736,80.6,42,0,12.01,clear sky
200,Antsohihy,MG,-14.8796,47.9875,77.59,88,7,3.13,clear sky
201,Tuatapere,NZ,-46.1333,167.6833,57.0,76,54,11.99,broken clouds
202,Lensk,RU,60.7253,114.9278,6.51,94,100,7.49,light snow
203,Chokurdakh,RU,70.6333,147.9167,-27.72,100,23,4.61,few clouds
204,Ancud,CL,-41.8697,-73.8203,68.0,59,0,8.05,clear sky
205,Faanui,PF,-16.4833,-151.75,81.07,77,25,9.64,light rain
206,Esperance,AU,-33.8667,121.9,62.6,88,16,12.66,few clouds
207,Rabat,MA,33.9911,-6.8401,64.99,68,40,8.05,scattered clouds
208,Kavaratti,IN,10.5669,72.642,82.92,68,56,12.26,broken clouds
209,Rawson,AR,-43.3002,-65.1023,83.59,25,23,21.03,few clouds
210,Moroni,KM,-11.7022,43.2551,81.3,78,99,3.87,overcast clouds
211,Samana,DO,19.2056,-69.3369,77.0,88,75,4.61,broken clouds
212,Surman,LY,32.7567,12.5716,65.39,70,100,16.89,overcast clouds
213,Bonoua,CI,5.2741,-3.595,87.8,79,20,12.66,few clouds
214,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,57,40,12.66,scattered clouds
215,Kaitangata,NZ,-46.2817,169.8464,63.0,48,37,13.0,scattered clouds
216,East London,ZA,-33.0153,27.9116,64.4,77,0,4.61,clear sky
217,Alice Springs,AU,-23.7,133.8833,59.0,72,0,5.86,haze
218,Durham,US,36.0335,-78.8664,71.01,23,1,6.91,clear sky
219,Narsaq,GL,60.9167,-46.05,39.2,87,90,9.22,overcast clouds
220,Lagos,NG,6.5833,3.75,87.8,70,20,6.91,few clouds
221,Poum,NC,-20.2333,164.0167,78.87,79,100,22.41,overcast clouds
222,Broome,US,42.2506,-75.833,55.99,35,40,12.66,scattered clouds
223,Buchanan,LR,5.8808,-10.0467,87.8,74,75,8.05,broken clouds
224,Grindavik,IS,63.8424,-22.4338,21.2,58,75,19.57,broken clouds
225,Darhan,MN,49.4867,105.9228,40.3,35,25,7.29,scattered clouds
226,Porosozero,RU,62.7191,32.727,34.57,97,100,10.33,overcast clouds
227,Chuy,UY,-33.6971,-53.4616,75.96,64,18,10.87,few clouds
228,Cherskiy,RU,68.75,161.3,-15.7,100,96,3.11,overcast clouds
229,Grand Gaube,MU,-20.0064,57.6608,81.0,75,3,7.0,clear sky
230,Namibe,AO,-15.1961,12.1522,78.94,85,100,13.58,overcast clouds
231,Domanivka,UA,47.6319,30.9885,45.3,72,100,0.94,overcast clouds
232,Pangnirtung,CA,66.1451,-65.7125,12.2,57,75,9.22,snow
233,Dhuwaran,IN,22.2333,72.8,82.98,57,0,11.16,clear sky
234,Moree,AU,-29.4667,149.85,64.4,82,64,9.22,broken clouds
235,Sept-Iles,CA,50.2001,-66.3821,39.2,41,90,8.05,overcast clouds
236,Cap Malheureux,MU,-19.9842,57.6142,81.0,75,3,7.0,clear sky
237,Urusha,RU,54.05,122.9,24.96,95,100,2.15,overcast clouds
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,54,40,16.11,scattered clouds
239,Houma,US,29.5958,-90.7195,72.0,37,1,12.66,clear sky
